latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
58.3227962181725,8.56914978333591,Eier (Selveier),4879,,6510337,182
60.1481,11.1692,Eier (Selveier),2050,,5113238,72
59.2975358558229,11.0488343238831,Eier (Selveier),1712,,8851042,224
59.7705,9.9039,Eier (Selveier),3300,,4745520,82
59.2542999137875,11.1793038060766,Eier (Selveier),1743,,2866989,
59.195690562607,11.1877165750931,Eier (Selveier),1747,,6540420,138
59.3512446195244,10.941541133114,Eier (Selveier),1640,,4270833,93
60.2468031982607,9.35530571457075,Eier (Selveier),3359,,3772293,86
59.2711,11.0616,Eier (Selveier),1715,,6043670,120
59.2584,11.1638,Eier (Selveier),1743,,4218290,105
58.0881285086924,7.31230873784667,Eier (Selveier),4520,,3856500,96
58.0418228931281,7.14864492416382,Eier (Selveier),4521,,3115000,100
58.4136727841064,8.63636028155961,Eier (Selveier),4821,,2886000,90
60.3173,10.5653,Eier (Selveier),2730,,2804405,63
58.1258447261015,7.96069468012323,Eier (Selveier),4621,,7077003,148
59.92221,10.950706,Eier (Selveier),1473,,4494104,49
59.7544958503792,10.8198805455762,Andel,1405,,5227698,79
59.7157510645192,10.8040926590575,Eier (Selveier),1406,,4757688,63
59.7374997048676,10.5939917208405,Eier (Selveier),1454,,9289161,94
60.1710403900762,11.5491464515919,Eier (Selveier),2166,,6849658,174
59.92221,10.950706,Eier (Selveier),1473,,5531590,63
60.1852,10.3418,Eier (Selveier),3514,,5401759,130
59.92221,10.950706,Eier (Selveier),1473,,6246817,72
60.115960295411,11.4675644486296,Eier (Selveier),2150,,5131342,131
59.7393793222577,10.0208187103272,Eier (Selveier),3050,,7324250,153
58.6487932855184,9.12487566763167,Eier (Selveier),4912,,4632500,117
58.1575,8.0243,Eier (Selveier),4632,,12051170,200
59.7608183906788,9.9668143679286,Eier (Selveier),3053,,7487670,170
58.2396314758386,8.34594778418623,Eier (Selveier),4790,,3603842,80
59.8452526253062,9.89385766988746,Eier (Selveier),3330,,3858750,112
59.49886,10.85713,Eier (Selveier),1592,,3276586,66
58.2397933002107,8.34921445767733,Eier (Selveier),4790,,5975092,209
60.2298,11.0207,Eier (Selveier),2030,,4800637,135
59.8922396757947,10.6188485686736,Andel,1364,,12960527,101
59.6035275837413,10.7060918153474,Eier (Selveier),1542,,3987941,74
60.1437,11.1789,Eier (Selveier),2053,,4143562,59
58.3238,8.2375,Eier (Selveier),4760,,3206111,68
59.7153,10.825,Andel,1423,,8079884,91
59.7154,10.824,Andel,1423,,8715057,94
59.6513,10.8104,Eier (Selveier),1430,,7053956,124
59.6024026216435,10.7467074745112,Eier (Selveier),1540,,4440480,60
59.7160309063095,10.8027225863149,Eier (Selveier),1406,,5438480,79
59.4222427031742,11.0181081482926,Eier (Selveier),1593,,3790000,114
59.7158,10.8271,Eier (Selveier),1423,,6717840,78
60.1658,10.2348,Eier (Selveier),3517,,6222650,143
60.1439,11.179,Eier (Selveier),2053,,3625899,52
59.2231125151903,10.9877057723367,Eier (Selveier),1651,,4694215,67
58.1877637746892,8.09906959533692,Eier (Selveier),4656,,6459375,140
59.754505,10.84346,Eier (Selveier),1405,,4227508,52
58.1551,8.1003,Eier (Selveier),4638,,6674170,157
58.1247,7.9521,Andel,4621,,7563052,112
59.7244618163138,10.2194413311101,Eier (Selveier),3041,Enebolig,7980000,165
59.8350880533354,10.4387553231542,Eier (Selveier),1383,Leilighet,6399420,63
59.2000489182361,10.8288594541505,Eier (Selveier),1622,,7978120,210
59.7825827591597,10.4637083937041,Eier (Selveier),1389,,8218207,118
59.8275,10.4586,Eier (Selveier),1386,,6598461,80
59.8922396757947,10.6188485686736,Andel,1364,,8797918,72
59.4332,10.6662,Eier (Selveier),1532,,4846205,72
59.6566,10.7898,Andel,1430,Leilighet,6331140,81
59.3519958397826,10.8722023491192,Andel,1640,Leilighet,3986132,60
60.1561,11.131,Eier (Selveier),2067,,7550670,140
59.6602158015948,10.7947309728927,Andel,1430,,5831607,73
59.3817038368985,10.7514069572347,Eier (Selveier),1580,,4102955,76
59.7832,10.7961,Eier (Selveier),1415,,10020120,143
59.7831082816221,10.7929142777407,Eier (Selveier),1415,,11048245,196
59.4234424596044,11.3469999768676,Eier (Selveier),1890,,5216875,121
60.5620777680583,9.98677611351013,Eier (Selveier),3524,,2699117,83
60.2476493414701,11.0301876068115,Eier (Selveier),2032,,3396082,67
59.7154,10.8259,Eier (Selveier),1423,,6172322,76
59.8454116188535,10.6795742541575,Eier (Selveier),1459,,12569884,170
58.0897,7.2899,Eier (Selveier),4520,,2664973,81
59.7408563796592,10.6018624261196,Eier (Selveier),1454,,5136777,86
59.7174,10.8117,Eier (Selveier),1406,,8680111,126
58.7113785986515,9.21147953395026,Eier (Selveier),4956,,3811505,88
59.7154,10.8265,Eier (Selveier),1423,,6787375,82
58.6202686481984,8.92288930672188,Eier (Selveier),4900,,2491000,69
58.7114900387669,9.21401314123471,Eier (Selveier),4956,,4411505,126
58.4813,8.7697,Eier (Selveier),4846,,3110540,70
58.4864905710379,8.86688853994904,Eier (Selveier),4812,Enebolig,6180119,163
58.1716870113038,8.23993645296203,Eier (Selveier),4770,,3203786,67
58.4863946584817,8.86657859591428,Eier (Selveier),4812,Enebolig,5820119,163
58.2583,8.3665,Eier (Selveier),4790,,3638740,83
58.1569,8.0999,Eier (Selveier),4638,,6307920,132
58.384055781496,8.6965180121591,Eier (Selveier),4870,,5656000,158
58.1563,8.1003,Eier (Selveier),4638,,8014920,206
58.0804517373453,7.86117748762198,Eier (Selveier),4640,,7809622,200
59.2431659560275,10.9928992245928,Eier (Selveier),1661,,4539670,90
58.490385403648,8.88108318547211,Eier (Selveier),4812,Enebolig,6612619,198
58.148452812218,8.2153428176429,Eier (Selveier),4770,Enebolig,3893500,70
59.2723,11.164,Andel,1738,,3266823,60
59.7495,10.0092,Eier (Selveier),3050,,5645485,76
59.2704513949637,11.0471762783198,Eier (Selveier),1718,,5052618,96
60.1383631094021,11.1662500452819,Andel,2050,,6045865,83
59.2973,11.1492,Eier (Selveier),1734,,4148550,105
59.6014918032596,10.7107521814966,Eier (Selveier),1542,,5912259,139
59.9340378364532,11.0733399133194,Eier (Selveier),2008,,5298587,99
59.5116201908663,10.6831437866768,Eier (Selveier),1555,,8733869,119
59.731,10.7383,Eier (Selveier),1407,,4715553,83
59.789814141,10.8016644535,Eier (Selveier),1415,,5571474,85
59.9469,10.9792,Eier (Selveier),1464,,18222175,296
59.7168125609042,10.8053960740929,Eier (Selveier),1406,,5247648,70
59.4811733115254,10.6888925627046,Eier (Selveier),1538,Leilighet,5525328,88
59.94369,10.960758,Eier (Selveier),1470,,7945608,100
59.9237907818309,10.9541922778801,Andel,1473,,6723326,80
58.1850867590035,8.03533452415302,Eier (Selveier),4634,Leilighet,4120912,92
58.2396314758386,8.34594778418623,Eier (Selveier),4790,,3603842,69
58.1850867590035,8.03533452415302,Eier (Selveier),4634,Leilighet,3520062,75
58.0936523547216,7.77996402316662,Eier (Selveier),4641,,6493822,167
58.263,7.951,Eier (Selveier),4706,,5002189,140
58.2396314758386,8.34594778418623,Eier (Selveier),4790,,5003842,
60.5718,9.1201,Eier (Selveier),3540,,4046675,100
58.1851518338614,8.09774803578828,Eier (Selveier),4656,,7843000,168
